Country,Count
germany,38
japan,31
united states,22
france,17
poland,13
italy,13
vietnam,13
russia,9
china,9
india,9
philippines,5
norway,5
libya,5
greece,4
finland,4
pakistan,3
austria,3
guinea,3
iran,3
israel,3
denmark,3
romania,3
lithuania,3
united kingdom,2
solomon islands,2
netherlands,2
singapore,2
latvia,2
south africa,2
ukraine,2
albania,2
cuba,2
canada,2
australia,2
bangladesh,2
belgium,2
estonia,2
egypt,2
cambodia,2
angola,1
thailand,1
sweden,1
spain,1
belarus,1
bulgaria,1
seychelles,1
rwanda,1
algeria,1
cape verde,1
kenya,1
papua new guinea,1
panama,1
ghana,1
mozambique,1
morocco,1
mongolia,1
mexico,1
luxembourg,1
hungary,1
iraq,1
lebanon,1
laos,1
