source,target,value
france,germany,4
germany,poland,4
india,pakistan,3
china,japan,3
germany,italy,3
japan,solomon islands,2
france,poland,2
estonia,lithuania,2
estonia,latvia,2
germany,japan,2
denmark,norway,2
japan,russia,2
italy,japan,2
china,india,2
latvia,lithuania,2
angola,mozambique,1
cambodia,laos,1
albania,hungary,1
albania,poland,1
albania,romania,1
algeria,morocco,1
angola,cape verde,1
angola,guinea,1
belarus,ukraine,1
australia,canada,1
finland,romania,1
australia,philippines,1
austria,germany,1
austria,hungary,1
canada,japan,1
belgium,luxembourg,1
cambodia,vietnam,1
egypt,libya,1
canada,russia,1
china,russia,1
cape verde,guinea,1
cape verde,mozambique,1
china,cuba,1
china,france,1
china,israel,1
china,mongolia,1
china,pakistan,1
china,vietnam,1
albania,greece,1
cuba,mongolia,1
cuba,vietnam,1
bulgaria,hungary,1
estonia,finland,1
estonia,romania,1
finland,germany,1
finland,latvia,1
belgium,netherlands,1
iran,libya,1
bulgaria,poland,1
france,russia,1
poland,romania,1
romania,russia,1
latvia,romania,1
india,japan,1
albania,bulgaria,1
france,israel,1
hungary,romania,1
hungary,poland,1
bulgaria,romania,1
guinea,mozambique,1
ghana,kenya,1
germany,sweden,1
germany,russia,1
france,pakistan,1
india,israel,1
germany,norway,1
philippines,thailand,1
philippines,singapore,1
pakistan,russia,1
mongolia,vietnam,1
austria,france,1
france,hungary,1
finland,lithuania,1
india,russia,1
iran,iraq,1
israel,pakistan,1
israel,russia,1
israel,south africa,1
japan,philippines,1
japan,singapore,1
japan,thailand,1
france,india,1
laos,vietnam,1
lithuania,romania,1
luxembourg,netherlands,1
singapore,thailand,1
