Word,POS
th,JJ
century,NN
changed,VBD
world,NN
unprecedented,JJ
ways,NNS
world,NN
wars,NNS
sparked,VBD
tension,NN
countries,NNS
led,VBD
creation,NN
atomic,JJ
bombs,NNS
cold,JJ
war,NN
led,VBD
space,NN
race,NN
creation,NN
spacebased,VBD
rockets,NNS
world,NN
wide,JJ
web,NN
created,VBD
advancements,NNS
played,VBD
significant,JJ
role,NN
citizens,NNS
lives,VBZ
shaped,JJ
st,JJ
century,NN
today,NN
historic,JJ
events,NNS
th,JJ
century,NN
world,NN
beginning,VBG
century,NN
main,JJ
article,NN
edwardian,JJ
era,NN
new,JJ
beginning,VBG
th,JJ
century,NN
marked,VBD
significant,JJ
changes,NNS
saw,VBD
decade,NN
herald,NN
series,NN
inventions,NNS
including,VBG
automobile,NN
airplane,NN
radio,NN
broadcasting,NN
saw,VBD
completion,NN
panama,NN
canal,NN
scramble,NN
africa,NN
continued,VBD
resulted,JJ
wars,NNS
genocide,VBP
across,IN
continent,NN
atrocities,NNS
congo,VBP
free,JJ
state,NN
shocked,VBD
civilized,JJ
world,NN
first,JJ
world,NN
war,NN
aftermath,NN
caused,VBD
major,JJ
changes,NNS
power,NN
balance,NN
world,NN
destroying,VBG
transforming,VBG
powerful,JJ
empires,NNS
war,NN
end,NN
wars,NNS
world,NN
war,NN
main,JJ
article,NN
world,NN
war,NN
arrest,NN
suspect,NN
sarajevo,NN
following,VBG
assassination,NN
archduke,IN
franz,NN
ferdinand,NN
first,JJ
world,NN
war,NN
simply,RB
wwi,VBD
termed,JJ
great,JJ
war,NN
contemporaries,NNS
started,VBD
july,RB
ended,JJ
november,NNP
war,NN
precipitated,VBD
assassination,NN
sarajevo,NN
austrohungarian,JJ
empire,NN
heir,NN
throne,NN
erzherzog,NN
franz,NN
ferdinand,NN
gavrilo,NN
princip,NN
member,NN
young,JJ
bosnia,NN
liberation,NN
movement,NN
period,NN
diplomatic,JJ
military,JJ
escalation,NN
known,VBN
july,NN
crisis,NN
end,NN
july,NN
two,CD
coalitions,NNS
war,NN
allies,NNS
comprised,VBN
initially,RB
british,JJ
empire,NN
france,NN
russian,JJ
empire,NN
central,JJ
powers,NNS
comprised,VBD
initially,RB
german,JJ
empire,NN
austriahungary,JJ
russia,NN
ended,VBN
hostile,JJ
actions,NNS
central,JJ
powers,NNS
fall,VBP
tsar,JJ
bolsheviks,NN
negotiated,VBN
treaty,NN
brestlitovsk,NN
germany,NN
although,IN
huge,JJ
cost,NN
russia,NN
treaty,NN
bolshevik,NN
russia,NN
ceded,VBD
baltic,JJ
states,NNS
germany,JJ
province,NN
kars,NNS
oblast,IN
south,JJ
caucasus,NN
ottoman,NN
empire,NN
also,RB
recognized,VBN
independence,NN
ukraine,NN
although,IN
germany,NN
shifted,VBD
huge,JJ
forces,NNS
eastern,JJ
western,JJ
front,NN
signing,VBG
treaty,NN
unable,JJ
stop,NN
allied,VBD
advance,NN
especially,RB
entrance,JJ
american,JJ
troops,NNS
war,NN
also,RB
chance,NN
combatant,JJ
nations,NNS
show,VBP
military,JJ
strength,NN
technological,JJ
ingenuity,NN
germans,NNS
introduced,VBD
machine,NN
gun,NN
uboats,NNS
deadly,VBP
gases,NNS
british,JJ
first,RB
used,VBD
tank,NN
sides,NNS
chance,NN
test,VBP
new,JJ
aircraft,NNS
see,NN
could,MD
used,VBN
warfare,VB
widely,RB
believed,VBN
war,NN
would,MD
short,VB
unfortunately,RB
since,IN
trench,NN
warfare,NN
best,RBS
form,NN
defense,NN
advances,NNS
sides,NNS
slow,VBP
came,VBD
terrible,JJ
cost,NN
lives,NNS
division,NN
austriahungary,JJ
world,NN
war,NN
war,NN
finally,RB
results,NNS
would,MD
set,VB
stage,NN
next,JJ
twenty,NN
years,NNS
first,RB
foremost,RB
germans,NNS
forced,VBD
sign,NN
treaty,NN
versailles,NNS
forcing,VBG
make,VBP
exorbitant,JJ
payments,NNS
repair,NN
damages,NNS
caused,VBD
war,NN
many,JJ
germans,NNS
felt,VBD
reparations,NNS
unfair,JJ
actually,RB
lose,VBP
war,NN
feel,NN
caused,VBD
war,NN
see,NN
stabintheback,JJ
legend,VBP
germany,JJ
never,RB
occupied,VBN
allied,JJ
troops,NNS
yet,RB
accept,VBP
liberal,JJ
democratic,JJ
government,NN
imposed,VBD
victors,NNS
abdication,VBP
kaiser,VB
wilhelm,RB
much,JJ
map,IN
europe,NN
redrawn,NN
victors,NNS
based,VBN
upon,IN
theory,JJ
future,NN
wars,NNS
could,MD
prevented,VB
ethnic,JJ
groups,NNS
homeland,VBP
new,JJ
states,NNS
like,IN
yugoslavia,NN
czechoslovakia,NN
created,VBD
former,JJ
austrohungarian,JJ
empire,NN
accommodate,NN
nationalist,JJ
aspirations,NNS
groups,NNS
international,JJ
body,NN
called,VBN
league,JJ
nations,NNS
formed,VBN
mediate,NN
disputes,NNS
prevent,VBP
future,JJ
wars,NNS
although,IN
effectiveness,NN
severely,RB
limited,VBD
among,IN
things,NNS
reluctance,VBP
inability,NN
act,NN
spanish,JJ
flu,NN
remarkably,RB
deadly,RB
worldwide,JJ
pandemic,NN
caused,VBD
flu,JJ
broke,VBD
near,JJ
end,NN
war,NN
spread,VBD
globally,RB
