,source,target,value
0,france,germany,4
1,germany,poland,4
2,india,pakistan,3
3,china,japan,3
4,germany,italy,3
5,japan,solomon islands,2
6,france,poland,2
7,estonia,lithuania,2
8,estonia,latvia,2
9,germany,japan,2
10,denmark,norway,2
11,japan,russia,2
12,italy,japan,2
13,china,india,2
14,latvia,lithuania,2
15,angola,mozambique,1
16,cambodia,laos,1
17,albania,hungary,1
18,albania,poland,1
19,albania,romania,1
20,algeria,morocco,1
21,angola,cape verde,1
22,angola,guinea,1
23,belarus,ukraine,1
24,australia,canada,1
25,finland,romania,1
26,australia,philippines,1
27,austria,germany,1
28,austria,hungary,1
29,canada,japan,1
30,belgium,luxembourg,1
31,cambodia,vietnam,1
32,egypt,libya,1
33,canada,russia,1
34,china,russia,1
35,cape verde,guinea,1
36,cape verde,mozambique,1
37,china,cuba,1
38,china,france,1
39,china,israel,1
40,china,mongolia,1
41,china,pakistan,1
42,china,vietnam,1
43,albania,greece,1
44,cuba,mongolia,1
45,cuba,vietnam,1
46,bulgaria,hungary,1
47,estonia,finland,1
48,estonia,romania,1
49,finland,germany,1
50,finland,latvia,1
51,belgium,netherlands,1
52,iran,libya,1
53,bulgaria,poland,1
54,france,russia,1
55,poland,romania,1
56,romania,russia,1
57,latvia,romania,1
58,india,japan,1
59,albania,bulgaria,1
60,france,israel,1
61,hungary,romania,1
62,hungary,poland,1
63,bulgaria,romania,1
64,guinea,mozambique,1
65,ghana,kenya,1
66,germany,sweden,1
67,germany,russia,1
68,france,pakistan,1
69,india,israel,1
70,germany,norway,1
71,philippines,thailand,1
72,philippines,singapore,1
73,pakistan,russia,1
74,mongolia,vietnam,1
75,austria,france,1
76,france,hungary,1
77,finland,lithuania,1
78,india,russia,1
79,iran,iraq,1
80,israel,pakistan,1
81,israel,russia,1
82,israel,south africa,1
83,japan,philippines,1
84,japan,singapore,1
85,japan,thailand,1
86,france,india,1
87,laos,vietnam,1
88,lithuania,romania,1
89,luxembourg,netherlands,1
90,singapore,thailand,1
